Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,1,Battery_Cell,
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
"C1, C13, C17, C18, C2, C29, C30, C4, C5, C6, C7",0603,11,100n,
"C10, C11, C3, C8, C9",0603,5,1u,
C12,0603,1,10u,
"C14, C15, C16",C_Elec_5x5.4,3,40u,
C33,0603,1,220n,
C39,0603,1,2u2F,
D1,0603,1,Blue,
D2,0603,1,Red,
D3,0603,1,D_Small,
D6,SOT-23,1,SZNUP2105L,
F1,1812,1,Fuse,
IC1,A6983C50QTR,1,A6983C50QTR,
IC2,SOT65P280X110-8N,1,TCAN3413DDFR,
IC3,BMP390,1,BMP390,
IC4,BGA9C40P3X3_128X128X54,1,BMM350,
J1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Servo 0,
J10,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,MotorR,
J11,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,CAN,
J12,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,24V,
J13,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,MAVLink,
J2,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Servo 1,
J3,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Servo 2,
J4,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Servo 3,
J5,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,LEDL,
J6,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,LEDR,
J7,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,MAG_I2C_TP,
J8,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Air Speed Sensor,
J9,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,MotorL,
L1,L_7.3x7.3_H4.5,1,15u,
"P8, P9",PinHeader_2x23_P2.54mm_Vertical,2,BeagleBone_Black_Header,
Q2,SOT-23,1,Q_NMOS_GSD,
"R10, R11",0603,2,420,
R12,0603,1,3k3,
R13,0603,1,100,
"R16, R17, R20, R21, R22, R23",0603,6,4k7,
R18,0603,1,1M,
R19,0603,1,100k,
R24,0603,1,10k,
R7,0603,1,120,
"TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,33,TestPoint,
U2,BHI360,1,BHI360,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,DS1307ZN+,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
